provinsi;kode_provinsi;tahun;luas panen (ha);produktivitas (ku/ha);produksi (ton);jumlah penduduk ;luas provinsi (ha);produksi beras (ton);proyeksi konsumsi rumah tangga(ton);surplus/ defisit(ton);surplus/ defisit(%)*;harga beras(Rp);suhu;curah hujan (mm);penyinaran matahari (%);;
KALIMANTAN SELATAN;63;2021;254.264;39.97;1.016.314;4.112.600;3.874.423;601.330;322.056;279.274;86,72;10.969;26,70;;;;
KALIMANTAN SELATAN;63;2022;214.909;38.13;819.419;4.182.100;3.719.030;516.610;352.079;164.531;46,73;12.790;26,50;;;;
KALIMANTAN TENGAH;62;2018;147.572;34.88;514.769;2.612.600;15.356.450;304.200;234.345;69.855;29,81;12.970;27,50;;;;
KALIMANTAN TENGAH;62;2019;146.145;30.35;443.561;2.649.800;15.356.450;262.123;213.680;48.443;22,67;12.700;27,40;;;;
KALIMANTAN TENGAH;62;2020;143.275;31.96;457.952;2.670.000;15.356.450;270.628;214.025;56.603;26,45;12.810;27,10;;;;
KALIMANTAN TENGAH;62;2021;125.870;30.28;381.190;2.702.200;15.356.450;226.431;221.470;4.961;2,24;11.000;27,07;;;;
KALIMANTAN TENGAH;62;2022;108.227;31.78;343.919;2.741.100;15.344.390;204.290;242.116;-37.826;-15,62;12.416;27,06;;;;
KALIMANTAN TIMUR;64;2018;64.961;40.45;262.774;3.573.800;12.906.664;152.060;285.030;-132.970;-46,65;11.680;27,36;;;;
KALIMANTAN TIMUR;64;2019;69.708;36.41;253.818;3.619.700;12.906.664;146.878;238.031;-91.153;-38,29;11.840;28,14;;;;
KALIMANTAN TIMUR;64;2020;73.568;35.67;262.435;3.766.000;12.734.692;151.863;253.078;-101.215;-39,99;12.120;27,60;;;;
KALIMANTAN TIMUR;64;2021;66.269;36.92;244.678;3.808.200;12.906.664;142.321;268.252;-125.931;-46,95;11.574;27,35;;;;
KALIMANTAN TIMUR;64;2022;64.970;36.85;239.425;3.859.800;12.698.128;139.266;293.259;-153.993;-52,51;11.497;27,35;;;;
KALIMANTAN UTARA;65;2018;13.707;32.88;45.064;682.800;7.546.770;26.577;57.175;-30.598;-53,52;13.020;27,48;;;;
KALIMANTAN UTARA;65;2019;10.295;32.40;33.357;659.600;7.546.770;19.674;49.082;-29.408;-59,92;12.810;27,10;;;;
KALIMANTAN UTARA;65;2020;9.883;33.97;33.574;701.800;7.546.770;19.802;49.604;-29.802;-60,08;12.400;27,80;;;;
KALIMANTAN UTARA;65;2021;8.881;33.74;29.967;713.600;7.546.770;17.766;54.035;-36.269;-67,12;12.906;27,50;;;;
KALIMANTAN UTARA;65;2022;10.550;35.49;30.534;727.800;6.921.210;22.507;59.072;-36.565;-61,90;12.500;27,40;;;;
KEP. BANGKA BELITUNG;19;2018;17.234;26.53;45.725;1.432.100;1.642.406;11.176;129.535;-118.359;-91,37;11.370;26,75;;;;
KEP. BANGKA BELITUNG;19;2019;17.088;28.56;48.806;1.451.100;1.642.406;28.780;107.265;-78.485;-73,17;10.730;26,70;;;;
KEP. BANGKA BELITUNG;19;2020;17.841;32.13;57.324;1.455.700;1.642.406;33.803;109.525;-75.722;-69,14;10.250;27,30;;;;
KEP. BANGKA BELITUNG;19;2021;18.278;38.57;70.496;1.473.200;1.642.406;41.785;107.305;-65.520;-61,06;10.375;28,60;207,33;;;
KEP. BANGKA BELITUNG;19;2022;15.108;40.66;61.425;1.494.600;1.642.406;36.409;117.308;-80.899;-68,96;10.500;28,10;301,29;;;
KEP. RIAU;21;2018;376;29.19;1.097;2.174.800;820.172;474;165.080;-164.606;-99,71;13.300;22,65;302,67;;;
KEP. RIAU;21;2019;356;32.30;1.151;2.241.600;820.172;655;148.753;-148.098;-99,56;13.400;27,84;;;;
KEP. RIAU;21;2020;299;28.56;853;2.064.600;820.172;485;134.775;-134.290;-99,64;12.270;27,61;;;;
KEP. RIAU;21;2021;270;31.65;855;2.118.200;820.172;489;135.991;-135.502;-99,64;10.200;27,53;;;;
KEP. RIAU;21;2022;179;28.24;507;2.178.000;826.971;337;148.668;-148.331;-99,77;10.687;26,95;;;;
LAMPUNG;18;2018;511.941;48.61;2.488.642;8.377.700;3.462.380;1.900.000;711.145;1.188.855;167,17;10.360;26,80;;;;
LAMPUNG;18;2019;464.103;46.63;2.164.089;8.457.600;3.462.380;1.237.624;651.574;586.050;89,94;10.520;27,20;;;;
LAMPUNG;18;2020;545.149;48.62;2.650.290;9.007.800;3.462.380;1.515.678;699.369;816.309;116,72;10.300;27,15;;;;
LAMPUNG;18;2021;489.573;50.77;2.485.453;9.081.800;3.462.380;1.428.770;743.254;685.516;92,23;8.914;27,13;;;;
LAMPUNG;18;2022;518.256;51.87;2.688.160;9.176.600;3.357.541;1.545.300;812.542;732.758;90,18;10.238;27,90;;;;
MALUKU;81;2018;29.052;40.01;116.229;1.749.500;4.691.403;82.708;162.090;-79.382;-48,97;12.370;28,10;;;;
MALUKU;81;2019;25.977;37.82;98.255;1.768.500;4.691.403;54.740;131.364;-76.624;-58,33;12.740;26,74;;;;
MALUKU;81;2020;28.668;38.53;110.447;1.848.900;4.691.403;61.533;136.894;-75.361;-55,05;12.240;27,17;;;;
MALUKU;81;2021;28.320;41.24;116.804;1.862.600;4.691.403;65.411;145.732;-80.321;-55,12;10.741;27,10;;;;
MALUKU;81;2022;23.988;38.60;92.601;1.881.700;4.691.403;51.860;159.318;-107.458;-67,45;11.625;27,94;;;;
MALUKU UTARA;82;2018;13.413;36.57;49.047;1.218.800;3.198.250;19.688;99.155;-79.467;-80,14;12.500;27,17;;;;
MALUKU UTARA;82;2019;11.701;32.43;37.946;1.235.700;3.198.250;21.125;94.012;-72.887;-77,53;12.870;27,05;;;;
MALUKU UTARA;82;2020;10.302;42.11;43.383;1.282.900;3.198.250;24.152;93.757;-69.605;-74,24;12.670;27,20;;;;
MALUKU UTARA;82;2021;7.782;36.05;28.051;1.288.200;3.198.250;15.697;104.298;-88.601;-84,95;11.000;27,10;;;;
MALUKU UTARA;82;2022;6.416;38.16;24.486;1.319.300;3.198.250;13.703;114.021;-100.318;-87,98;11.000;27,10;;;;
NUSA TENGGARA BARAT;52;2018;289.243;50.49;1.460.339;5.077.700;1.857.232;827.713;552.560;275.153;49,80;9.780;27,10;;;;
NUSA TENGGARA BARAT;52;2019;281.666;49.78;1.402.182;5.152.400;1.857.232;794.499;495.249;299.250;60,42;10.160;26,96;;;;
NUSA TENGGARA BARAT;52;2020;273.461;48.17;1.317.190;5.320.100;2.016.484;746.341;514.559;231.782;45,04;10.420;27,29;;;;
NUSA TENGGARA BARAT;52;2021;276.212;51.39;1.419.560;5.390.000;1.857.232;808.510;560.129;248.381;44,34;9.830;26,40;;;;
NUSA TENGGARA BARAT;52;2022;270.093;53.79;1.452.945;5.473.700;1.967.589;829.790;612.346;217.444;35,51;9.480;26,50;;;;
NUSA TENGGARA TIMUR;53;2018;218.233;41.24;899.936;5.360.300;4.871.810;524.404;591.530;-67.126;-11,35;11.270;26,84;;;;
NUSA TENGGARA TIMUR;53;2019;198.867;40.82;811.724;5.437.200;4.871.810;473.003;573.516;-100.513;-17,53;11.380;27,67;;;;
